ServCode;latitude;longitude;conceptKeyword;VarCode;VarName;datatype;valuetype,sample medium;Sitename;ValueCount;Organization
NWISDV; 39.465; -88.2302778; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:91049/DataType=MEAN; Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day; average; Field Observation; SurfaceWater; KICKAPOO CREEK AT 1320E ROAD NR CHARLESTON, IL; 1063; U.S. Geological Survey (USGS)
NWISDV; 39.63277778; -90.6077778; Colored dissolved organic matter; NWISDV:32295/DataType=MINIMUM; Colored dissolved organic matter (CDOM), water, in situ, single band excitation, fluorescence emission, parts per billion quinine sulfate equivalents (ppb QSE); MINIMUM; Field Observation; SurfaceWater; ILLINOIS RIVER AT FLORENCE, IL; 764; U.S. Geological Survey (USGS)
NWISDV; 39.54638889; -89.435; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; CLEAR CREEK NEAR JEISYVILLE, IL; 178; U.S. Geological Survey (USGS)
NWISDV; 39.71553889; -89.7024444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; LICK CREEK NEAR WOODSIDE, IL; 483; U.S. Geological Survey (USGS)
NWISDV; 41.33305556; -88.4669444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; HANSON GRAVEL PIT AT CULVERT NEAR MORRIS, IL; 403; U.S. Geological Survey (USGS)
NWISDV; 39.71553889; -89.7024444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; LICK CREEK NEAR WOODSIDE, IL; 483; U.S. Geological Survey (USGS)
NWISDV; 19.65807505; -155.1194524; Nitrogen, total; NWISDV:00600/DataType=MEAN; Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter; average; Field Observation; SurfaceWater; Waiakea Stream at Hoaka Road, HI; 731; U.S. Geological Survey (USGS)
NWISDV; 40.16416667; -88.0275; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; SPOON RIVER NEAR ST. JOSEPH, IL; 997; U.S. Geological Survey (USGS)
NWISDV; 41.48892309; -90.1576186; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; GREEN RIVER NEAR GENESEO, IL; 517; U.S. Geological Survey (USGS)
NWISDV; 40.47277778; -88.8797222; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; KICKAPOO CREEK TRIBUTARY NEAR BLOOMINGTON, IL; 1056; U.S. Geological Survey (USGS)
NWISDV; 38.09226857; -88.1561487; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; LITTLE WABASH RIVER AT MAIN ST AT CARMI, IL; 370; U.S. Geological Survey (USGS)
